"","X0","X1","X2","X3","X4","X5","X6","X7","X8","X9"
"X0",2923,58,161,0,3,0,40,0,187,98
"X1",39,2228,22,18,2,0,15,10,0,6
"X2",186,117,3656,15,0,0,3,80,460,0
"X3",148,0,6,3275,0,13,0,10,156,16
"X4",25,39,0,5,3879,10,9,0,22,1574
"X5",156,18,0,377,5,3889,1,0,126,260
"X6",245,9,19,5,0,35,3804,10,301,50
"X7",32,522,18,46,20,6,10,3870,36,16
"X8",109,194,113,183,0,27,108,0,2636,73
"X9",137,815,5,76,91,20,10,20,76,1907
