"","k","Accuracy","Kappa","AccuracySD","KappaSD"
"1",1,0.9925,0.991666666666667,0.00454858826147342,0.00505398695719268
"2",2,0.990416666666667,0.989351851851852,0.00525567564037029,0.00583963960041143
"3",3,0.992666666666667,0.991851851851852,0.00449776445108804,0.00499751605676447
"4",4,0.99225,0.991388888888889,0.0048401161285584,0.00537790680950931
"5",5,0.992583333333333,0.991759259259259,0.00368380269542909,0.00409311410603231
"6",6,0.991083333333333,0.990092592592593,0.00418759113814015,0.00465287904237794
"7",7,0.99075,0.989722222222222,0.004602754048131,0.00511417116459
"8",8,0.990666666666667,0.98962962962963,0.00449776445108804,0.00499751605676449
"9",9,0.99,0.988888888888889,0.00450095775248505,0.00500106416942782
"10",10,0.989416666666667,0.988240740740741,0.00458085094740037,0.00508983438600041
"11",11,0.9895,0.988333333333333,0.00422431385981284,0.0046936820664587
