"","k","Accuracy","Kappa","AccuracySD","KappaSD"
"1",1,0.979083333333333,0.976759259259259,0.00834295421643145,0.00926994912936828
"2",2,0.971166666666667,0.967962962962963,0.0102497546928874,0.0113886163254305
"3",3,0.978666666666667,0.976296296296296,0.00885061203156785,0.00983401336840873
"4",4,0.977666666666667,0.975185185185185,0.00843160447500881,0.00936844941667647
"5",5,0.978333333333333,0.975925925925926,0.00737929691694986,0.00819921879661096
"6",6,0.977083333333333,0.974537037037037,0.00737199188603841,0.00819110209559823
"7",7,0.97625,0.973611111111111,0.00855383559862335,0.00950426177624817
"8",8,0.97375,0.970833333333333,0.00872842166875469,0.00969824629861633
"9",9,0.973833333333333,0.970925925925926,0.00865361528329429,0.00961512809254921
"10",10,0.973583333333333,0.970648148148148,0.0100790695839527,0.0111989662043919
"11",11,0.9745,0.971666666666667,0.00954571577489988,0.0106063508609999
