"","k","Accuracy","Kappa","AccuracySD","KappaSD"
"1",1,0.9135,0.903888888888889,0.0155308369559314,0.0172564855065904
"2",2,0.888,0.875555555555556,0.0182700055678228,0.0203000061864698
"3",3,0.8925,0.880555555555556,0.014826583767237,0.0164739819635967
"4",4,0.8885,0.876111111111111,0.0156000663128564,0.0173334070142849
"5",5,0.886333333333333,0.873703703703704,0.0162514367180966,0.0180571519089962
"6",6,0.878,0.864444444444444,0.0139333388329748,0.0154814875921942
"7",7,0.8755,0.861666666666667,0.0141786629397352,0.0157540699330391
"8",8,0.871083333333333,0.856759259259259,0.014602245536651,0.0162247172629455
"9",9,0.86475,0.849722222222222,0.0163389475455597,0.018154386161733
"10",10,0.8605,0.845,0.0160602314579448,0.0178447016199386
"11",11,0.851833333333333,0.83537037037037,0.0166988195604553,0.0185542439560614
