"","k","Accuracy","Kappa","AccuracySD","KappaSD"
"1",1,0.984333333333333,0.982592592592593,0.00636305789280016,0.00707006432533351
"2",2,0.979166666666667,0.976851851851852,0.00599329126856731,0.00665921252063035
"3",3,0.984,0.982222222222222,0.00603866849904673,0.00670963166560748
"4",4,0.979083333333333,0.976759259259259,0.00767000801749945,0.00852223113055495
"5",5,0.98,0.977777777777778,0.00850962943396764,0.0094551438155196
"6",6,0.976583333333333,0.973981481481481,0.00823897731071259,0.00915441923412509
"7",7,0.975,0.972222222222222,0.00853491813588198,0.00948324237320219
"8",8,0.97325,0.970277777777778,0.0100247538451162,0.0111386153834625
"9",9,0.972916666666667,0.969907407407407,0.0091934040573076,0.0102148933970085
"10",10,0.97075,0.9675,0.00965236258375513,0.0107248473152835
"11",11,0.970083333333333,0.966759259259259,0.0104114354680682,0.0115682616311868
