"","k","Accuracy","Kappa","AccuracySD","KappaSD"
"1",1,0.788025,0.764472222222222,0.0195249613613348,0.0216944015125942
"2",2,0.74995,0.722166666666667,0.0202446526173199,0.0224940584636888
"3",3,0.785775,0.761972222222222,0.0211407470745167,0.0234897189716852
"4",4,0.79305,0.770055555555556,0.020193445781373,0.0224371619793034
"5",5,0.80165,0.779611111111111,0.0194014604261294,0.0215571782512549
"6",6,0.8029,0.781,0.0214844317607147,0.0238715908452386
"7",7,0.805525,0.783916666666667,0.0198679192964869,0.0220754658849855
"8",8,0.80625,0.784722222222222,0.0204633819296811,0.022737091032979
"9",9,0.806075,0.784527777777778,0.0214448287896682,0.0238275875440758
"10",10,0.80495,0.783277777777778,0.0192799026570324,0.0214221140633694
"11",11,0.802175,0.780194444444444,0.0198277143810314,0.0220307937567015
