"","k","Accuracy","Kappa","AccuracySD","KappaSD"
"1",1,0.980833333333333,0.978703703703704,0.00667384670823787,0.00741538523137542
"2",2,0.97425,0.971388888888889,0.00851342752807953,0.00945936392008837
"3",3,0.982833333333333,0.980925925925926,0.00578841490621024,0.00643157211801137
"4",4,0.980333333333333,0.978148148148148,0.00586240702203063,0.00651378558003403
"5",5,0.980333333333333,0.978148148148148,0.00614947899858378,0.00683275444287088
"6",6,0.979833333333333,0.977592592592593,0.00590635737754367,0.00656261930838184
"7",7,0.97825,0.975833333333333,0.00565342435136015,0.00628158261262238
"8",8,0.977666666666667,0.975185185185185,0.00605055331373081,0.00672283701525647
"9",9,0.974916666666667,0.97212962962963,0.00610551380725446,0.00678390423028273
"10",10,0.974083333333333,0.971203703703704,0.00627952794916687,0.00697725327685208
"11",11,0.973333333333333,0.97037037037037,0.00558374076399866,0.00620415640444296
