"n","k","t"
500,1,0.300000000000068
500,2,0.299999999999955
500,3,0.32000000000005
500,4,0.299999999999955
500,5,0.319999999999936
500,6,0.310000000000059
500,7,0.309999999999945
500,8,0.290000000000077
500,9,0.309999999999945
500,10,0.309999999999945
500,11,0.310000000000059
500,12,0.319999999999936
500,13,0.300000000000068
500,14,0.309999999999945
500,15,0.319999999999936
500,16,0.300000000000068
500,17,0.319999999999936
500,18,0.310000000000059
500,19,0.309999999999945
500,20,0.309999999999945
500,21,0.290000000000077
500,22,0.309999999999945
500,23,0.290000000000077
500,24,0.309999999999945
500,25,0.310000000000059
500,26,0.310000000000059
500,27,0.319999999999936
500,28,0.330000000000041
500,29,0.310000000000059
500,30,0.299999999999955
500,31,0.310000000000059
500,32,0.319999999999936
500,33,0.300000000000068
500,34,0.309999999999945
500,35,0.299999999999955
500,36,0.310000000000059
500,37,0.299999999999955
500,38,0.32000000000005
500,39,0.299999999999955
500,40,0.330000000000041
1000,1,1.52999999999997
1000,2,1.56000000000006
1000,3,1.51999999999998
1000,4,1.50999999999999
1000,5,1.52999999999997
1000,6,1.52999999999997
1000,7,1.55999999999995
1000,8,1.55999999999995
1000,9,1.57000000000005
1000,10,1.55999999999995
1000,11,1.55999999999995
1000,12,1.56000000000006
1000,13,1.57999999999993
1000,14,1.55999999999995
1000,15,1.54000000000008
1000,16,1.55999999999995
1000,17,1.56000000000006
1000,18,1.57000000000005
1000,19,1.55999999999995
1000,20,1.56000000000006
1000,21,1.53999999999996
1000,22,1.54000000000008
1000,23,1.54999999999995
1000,24,1.57000000000005
1000,25,1.54999999999995
1000,26,1.54999999999995
1000,27,1.55000000000007
1000,28,1.56999999999994
1000,29,1.56000000000006
1000,30,1.52999999999997
1000,31,1.56000000000006
1000,32,1.53999999999996
1000,33,1.54000000000008
1000,34,1.54999999999995
1000,35,1.55000000000007
1000,36,1.55999999999995
1000,37,1.57999999999993
1000,38,1.56000000000006
1000,39,1.55999999999995
1000,40,1.54999999999995
1500,1,3.91999999999996
1500,2,3.92000000000007
1500,3,3.93999999999994
1500,4,3.90999999999997
1500,5,3.89999999999998
1500,6,3.92000000000007
1500,7,3.95000000000005
1500,8,3.93999999999994
1500,9,3.92000000000007
1500,10,3.94999999999993
1500,11,3.93999999999994
1500,12,3.92000000000007
1500,13,3.94999999999993
1500,14,3.98000000000002
1500,15,3.94000000000005
1500,16,3.97000000000003
1500,17,3.91999999999996
1500,18,3.94000000000005
1500,19,3.95000000000005
1500,20,3.95999999999992
1500,21,3.95999999999992
1500,22,3.94000000000005
1500,23,3.95000000000005
1500,24,3.92999999999995
1500,25,3.97000000000003
1500,26,3.91999999999996
1500,27,3.93999999999994
1500,28,3.98000000000002
1500,29,3.93000000000006
1500,30,3.97000000000003
1500,31,3.95999999999992
1500,32,3.96000000000004
1500,33,3.95000000000005
1500,34,3.91999999999996
1500,35,4.1400000000001
1500,36,3.93999999999994
1500,37,3.95000000000005
1500,38,3.95000000000005
1500,39,3.95999999999992
1500,40,3.95999999999992
2000,1,7.69999999999993
2000,2,7.67000000000007
2000,3,7.75
2000,4,7.72000000000003
2000,5,7.68999999999994
2000,6,7.59000000000003
2000,7,7.63999999999999
2000,8,7.65999999999997
2000,9,7.60000000000002
2000,10,7.63
2000,11,7.74000000000001
2000,12,7.75
2000,13,7.61000000000001
2000,14,7.68000000000006
2000,15,7.70000000000005
2000,16,7.64999999999998
2000,17,7.66999999999996
2000,18,7.68999999999994
2000,19,7.74000000000001
2000,20,7.65000000000009
2000,21,7.66999999999996
2000,22,7.64999999999998
2000,23,7.68999999999994
2000,24,7.74000000000001
2000,25,7.86000000000001
2000,26,7.67000000000007
2000,27,7.65999999999997
2000,28,7.61000000000001
2000,29,7.64999999999998
2000,30,7.63999999999999
2000,31,7.64999999999998
2000,32,7.74000000000001
2000,33,7.72000000000003
2000,34,7.83999999999992
2000,35,7.69000000000005
2000,36,7.67000000000007
2000,37,7.73000000000002
2000,38,7.67000000000007
2000,39,7.75
2000,40,7.63999999999987
2500,1,13.8900000000001
2500,2,13.78
2500,3,13.8099999999999
2500,4,13.6600000000001
2500,5,13.8299999999999
2500,6,13.9599999999998
2500,7,13.8000000000002
2500,8,13.8599999999999
2500,9,13.8099999999999
2500,10,14.1999999999998
2500,11,13.77
2500,12,13.78
2500,13,14.0699999999999
2500,14,13.74
2500,15,13.8099999999999
2500,16,13.8600000000001
2500,17,13.74
2500,18,13.77
2500,19,13.73
2500,20,13.78
2500,21,13.79
2500,22,13.8600000000001
2500,23,13.9000000000001
2500,24,13.78
2500,25,13.75
2500,26,13.8699999999999
2500,27,14.0899999999999
2500,28,13.8099999999999
2500,29,13.8300000000002
2500,30,13.75
2500,31,13.8499999999999
2500,32,15.0799999999999
2500,33,14.03
2500,34,13.6899999999998
2500,35,13.7299999999998
2500,36,13.75
2500,37,13.8599999999999
2500,38,13.8700000000001
2500,39,13.8099999999999
2500,40,13.79
3000,1,20.73
3000,2,20.7
3000,3,20.6700000000001
3000,4,20.79
3000,5,21.5599999999999
3000,6,20.76
3000,7,20.6999999999998
3000,8,20.6799999999998
3000,9,20.6700000000001
3000,10,20.9200000000001
3000,11,20.5799999999999
3000,12,20.74
3000,13,20.6800000000001
3000,14,20.5899999999999
3000,15,20.7800000000002
3000,16,20.5799999999999
3000,17,20.75
3000,18,20.6400000000001
3000,19,20.71
3000,20,20.6100000000001
3000,21,20.71
3000,22,20.5299999999997
3000,23,21.25
3000,24,20.6099999999997
3000,25,20.5700000000002
3000,26,20.6399999999999
3000,27,21.5100000000002
3000,28,20.8099999999999
3000,29,20.6900000000001
3000,30,20.77
3000,31,20.21
3000,32,20.3799999999997
3000,33,20.4400000000001
3000,34,20.96
3000,35,20.6399999999999
3000,36,23
3000,37,22.9099999999999
3000,38,20.1400000000003
3000,39,20.2599999999998
3000,40,20.3400000000001
3500,1,32.1399999999999
3500,2,30.8699999999999
3500,3,30.48
3500,4,32.98
3500,5,30.71
3500,6,30.6300000000001
3500,7,30.77
3500,8,30.5799999999999
3500,9,30.79
3500,10,30.8600000000001
3500,11,34.1299999999997
3500,12,32.9400000000001
3500,13,34.1399999999999
3500,14,31.5299999999997
