"","k","Accuracy","Kappa","AccuracySD","KappaSD"
"1",1,0.91625,0.906944444444444,0.010458250331676,0.0116202781463066
"2",2,0.8955,0.883888888888889,0.0146863765160918,0.0163181961289909
"3",3,0.896166666666667,0.88462962962963,0.0159029022147083,0.0176698913496759
"4",4,0.887083333333333,0.874537037037037,0.00995860685913008,0.0110651187323668
"5",5,0.88275,0.869722222222222,0.012753464708422,0.0141705163426911
"6",6,0.87475,0.860833333333333,0.0144638371882048,0.0160709302091164
"7",7,0.869583333333333,0.855092592592593,0.0164668336116997,0.0182964817907774
"8",8,0.862166666666667,0.846851851851852,0.0149529914740492,0.0166144349711658
"9",9,0.8575,0.841666666666667,0.0169176504441877,0.0187973893824308
"10",10,0.853583333333333,0.837314814814815,0.0157387525977548,0.0174875028863942
"11",11,0.846166666666667,0.829074074074074,0.015407305328034,0.01711922814226
