"degree","scale","C","Accuracy","Kappa","AccuracySD","KappaSD"
2,0.1,0.25,0.776675,0.751861111111111,0.0323616821599592,0.0359574246221769
2,0.1,0.5,0.7797,0.755222222222222,0.0308118844315342,0.0342354271461492
2,0.1,0.75,0.779675,0.755194444444445,0.0304457737442964,0.0338286374936627
2,0.1,1,0.775475,0.750527777777778,0.0292210088996104,0.0324677876662338
