"","k","Accuracy","Kappa","AccuracySD","KappaSD"
"1",1,0.975916666666667,0.973240740740741,0.00780923782467272,0.00867693091630302
"2",2,0.968416666666667,0.964907407407407,0.00961507736025448,0.0106834192891717
"3",3,0.97375,0.970833333333333,0.00767749734726372,0.00853055260807081
"4",4,0.970833333333333,0.967592592592593,0.00815616260907955,0.00906240289897729
"5",5,0.971333333333333,0.968148148148148,0.00739096994863389,0.00821218883181544
"6",6,0.9685,0.965,0.00800323210571399,0.00889248011745999
"7",7,0.968,0.964444444444444,0.00891531034909552,0.00990590038788391
"8",8,0.9675,0.963888888888889,0.00953668054734294,0.0105963117192699
"9",9,0.966416666666667,0.962685185185185,0.00875143666366621,0.00972381851518467
"10",10,0.965833333333333,0.962037037037037,0.00841625411530174,0.00935139346144638
"11",11,0.965333333333333,0.961481481481481,0.0090671188190164,0.0100745764655738
