"","x"
"1",7.70130984614396
"2",5.72325589804765
"3",4.89204692452529
"4",4.23661952661535
"5",3.53475645983274
"6",3.11424530397847
"7",2.98864017606955
"8",2.90185829626947
"9",2.67292888342262
"10",2.60557470479524
"11",2.39032414689631
"12",2.25534095939506
"13",2.14370581608123
"14",2.04796802135767
"15",1.95337993989152
"16",1.92655189702391
"17",1.8589594366582
"18",1.7813947923751
"19",1.67037112222616
"20",1.51947033845387
"21",1.49322449119437
"22",1.47596883632142
"23",1.40743469187213
"24",1.36158765560512
"25",1.30951742468477
"26",1.25338429284972
"27",1.19665373152132
"28",1.11593504290816
"29",1.05424195039949
"30",1.02829579961948
"31",1.01037392492202
"32",0.958084971791314
"33",0.919002859722265
"34",0.883210152840198
"35",0.853840850136858
"36",0.811253047649707
"37",0.771634835634186
"38",0.741516574787631
"39",0.695986023689796
"40",0.67539199228142
"41",0.647427532732976
"42",0.630088810339303
"43",0.609038413379588
"44",0.592769756548339
"45",0.579911585585885
"46",0.545251535267081
"47",0.535169522241606
"48",0.506654486718699
"49",0.481569524464881
"50",0.460954778140176
"51",0.457863537210977
"52",0.430437750988244
"53",0.429178630426752
"54",0.421827974832113
"55",0.400173427739622
"56",0.393293655780609
"57",0.370091645080172
"58",0.352860741919109
"59",0.340182714987994
"60",0.320588560751818
"61",0.315059946753635
"62",0.304133053403808
"63",0.303594421900055
"64",0.293871785764478
"65",0.289290813417854
"66",0.274686091016101
"67",0.260752355844294
"68",0.25223356108806
"69",0.249203403801173
"70",0.232554872553328
"71",0.227039086879622
"72",0.214723464521191
"73",0.210900942726793
"74",0.21010612590663
"75",0.204790211458492
"76",0.19601996437415
"77",0.189011827460559
"78",0.183958124015842
"79",0.180450188406694
"80",0.167306250975619
"81",0.166122784638751
"82",0.156362028443507
"83",0.155786002673725
"84",0.148579857160445
"85",0.142496308858959
"86",0.1395524378123
"87",0.134572200427319
"88",0.129260636945415
"89",0.127081529008355
"90",0.122719656073452
"91",0.11820420780397
"92",0.115917185380559
"93",0.110462875720354
"94",0.10897850694178
"95",0.104628105961267
"96",0.10001500311797
"97",0.0979099415204992
"98",0.096440736039705
"99",0.0914456765801671
"100",0.0881967556080301
"101",0.0855814387872429
"102",0.0829325878044246
"103",0.0803815378779975
"104",0.077358978777138
"105",0.0740266378703568
"106",0.0734747172830112
"107",0.0700757846088097
"108",0.0690976731874724
"109",0.0673088983610903
"110",0.0635970103522622
"111",0.062999228352182
"112",0.0604304176266841
"113",0.0593852750866471
"114",0.0577340320939703
"115",0.0570373529214741
"116",0.0515943589206532
"117",0.0502107029240323
"118",0.0497615419696711
"119",0.0489781892497647
"120",0.0475558537944673
"121",0.046125369256653
"122",0.0441037931334421
"123",0.0427587624934922
"124",0.0419139618145532
"125",0.0401625602958638
"126",0.0388161372182506
"127",0.0369750799368251
"128",0.0363761148339338
"129",0.034775212560084
"130",0.0339324617779302
"131",0.0334591887222817
"132",0.0329816696326198
"133",0.0316494484639121
"134",0.0308897722556909
"135",0.0298380890883014
"136",0.0284021445044936
"137",0.0267752390047098
"138",0.0265860348070081
"139",0.0259030465362488
"140",0.0257462870668666
"141",0.0247574714975826
"142",0.0239800505837328
"143",0.0225764187180675
"144",0.0219726305606544
"145",0.0213631973929876
"146",0.0206922016311754
"147",0.0196423538709357
"148",0.0194863281653885
"149",0.0187731696203483
"150",0.0179089061445328
"151",0.0177777352258432
"152",0.0171833448335262
"153",0.0170025250200009
"154",0.0165000787219361
"155",0.0164084636577136
"156",0.0153831545506659
"157",0.0150482930640822
"158",0.0145186873098998
"159",0.0141419234397932
"160",0.013546166783347
"161",0.0132310822662865
"162",0.0130511730177594
"163",0.012177584108033
"164",0.0118893123194654
"165",0.0113977856193007
"166",0.0113323702537365
"167",0.0107964454932349
"168",0.0106034570168792
"169",0.0100958539956572
"170",0.0100127974037353
"171",0.00972525508222841
"172",0.00940212972824651
"173",0.00926232551628699
"174",0.00894407915304879
"175",0.00861562790433206
"176",0.00837477428906202
"177",0.0081760001443074
"178",0.0080624838547204
"179",0.00777253883768874
"180",0.00766198369953801
"181",0.00741154532175664
"182",0.00730876326448543
"183",0.00707089263637739
"184",0.0066203691152287
"185",0.00648127342562818
"186",0.0062013519872371
"187",0.00613298845911562
"188",0.0059886102593701
"189",0.00567719358931272
"190",0.00564021925308346
"191",0.00557399240087272
"192",0.00518139894500646
"193",0.00510110770824431
"194",0.00502637298178967
"195",0.00461995003981453
"196",0.00453933975838912
"197",0.00443100281145343
"198",0.00438791193788183
"199",0.00431399837761434
"200",0.0039441468319693
"201",0.00381575058848516
"202",0.00374161774347132
"203",0.00362748735561414
"204",0.00354837780845214
"205",0.00335135235526147
"206",0.0033300266926257
"207",0.00304951787809848
"208",0.0030032770079557
"209",0.00296835342353018
"210",0.0027253383283634
"211",0.00258222030705255
"212",0.00254165412773795
"213",0.00240683056893896
"214",0.00229071756227923
"215",0.00223157813325589
"216",0.00212884247668503
"217",0.00212580517417158
"218",0.00185126773293637
"219",0.00184194859326372
"220",0.00178958787037828
"221",0.00172777267326793
"222",0.00160103891425126
"223",0.00144204334495277
"224",0.00135714588882938
"225",0.00130497082982187
"226",0.00128370705015847
"227",0.00125082222189246
"228",0.00116003752852178
"229",0.00103497142365951
"230",0.000928954388945663
"231",0.000907632531311583
"232",0.000860829856581315
"233",0.000837636163445272
"234",0.000769355299131808
"235",0.000691927289380529
"236",0.000610920526008541
"237",0.000599113957936974
"238",0.000549169637900595
"239",0.000512190019775689
"240",0.000470528595665032
"241",0.000404374115904308
"242",0.00039020529831323
"243",0.000348029738117782
"244",0.000313568566615405
"245",0.000285489498009311
"246",0.000251069942509352
"247",0.000217084777471207
"248",0.000189377559193104
"249",0.000167191084763454
"250",0.000151647876243733
"251",0.000118150830470655
"252",0.000100315660587009
"253",8.88202485021407e-05
"254",6.35546551873724e-05
"255",5.1642012647854e-05
"256",3.40698458502483e-05
