"","k","Accuracy","Kappa","AccuracySD","KappaSD"
"1",1,0.7785,0.753888888888889,0.0224722050542442,0.024969116726938
"2",2,0.744083333333333,0.715648148148148,0.0265995473559275,0.0295550526176972
"3",3,0.749666666666667,0.721851851851852,0.0215531953520831,0.0239479948356479
"4",4,0.7365,0.707222222222222,0.0227959464031172,0.0253288293367969
"5",5,0.73025,0.700277777777778,0.0229725285714376,0.0255250317460418
"6",6,0.71825,0.686944444444444,0.0189844537124095,0.0210938374582328
"7",7,0.706083333333333,0.673425925925926,0.0204758408245245,0.0227509342494717
"8",8,0.693916666666667,0.659907407407407,0.0212607308943253,0.0236230343270281
"9",9,0.685583333333333,0.650648148148148,0.020964700764879,0.0232941119609767
"10",10,0.67875,0.643055555555556,0.0227973644877255,0.0253304049863616
"11",11,0.669833333333333,0.633148148148148,0.0210800335884921,0.023422259542769
