"","k","Accuracy","Kappa","AccuracySD","KappaSD"
"1",1,0.901175,0.890194444444444,0.0148411411184238,0.0164901567982487
"2",2,0.878425,0.864916666666667,0.0165207819843292,0.0183564244270325
"3",3,0.89775,0.886388888888889,0.0142820612212409,0.0158689569124899
"4",4,0.894525,0.882805555555556,0.0143270555314768,0.0159189505905298
"5",5,0.896025,0.884472222222222,0.0152839083200389,0.0169821203555988
"6",6,0.8928,0.880888888888889,0.0164427381042099,0.0182697090046777
"7",7,0.890425,0.87825,0.0170303316752698,0.0189225907502997
"8",8,0.8864,0.873777777777778,0.016431369358331,0.0182570770648122
"9",9,0.885275,0.872527777777778,0.0171737077351904,0.0190818974835448
"10",10,0.882475,0.869416666666667,0.0169837080281026,0.0188707866978918
"11",11,0.8797,0.866333333333333,0.0166184150017899,0.0184649055575444
