"","X0","X1","X2","X3","X4","X5","X6","X7","X8","X9"
"X0",39422,1,70,73,61,163,327,9,127,94
"X1",71,39591,84,143,197,58,55,436,74,459
"X2",52,40,38832,769,30,106,40,325,462,3
"X3",40,11,319,37900,13,381,19,116,271,55
"X4",46,37,19,11,38642,55,34,70,60,998
"X5",28,0,19,305,1,38208,67,20,165,111
"X6",215,3,10,41,109,344,39067,22,442,64
"X7",14,60,415,228,27,59,1,38712,131,131
"X8",34,22,188,449,67,417,311,141,37926,74
"X9",78,235,44,81,853,209,79,149,342,38011
