"","k","Accuracy","Kappa","AccuracySD","KappaSD"
"1",1,0.769083333333333,0.743425925925926,0.0184353873229484,0.0204837636921649
"2",2,0.731916666666667,0.70212962962963,0.0168881121897426,0.018764569099714
"3",3,0.742166666666667,0.713518518518519,0.0190137578743853,0.0211263976382058
"4",4,0.726583333333333,0.696203703703704,0.0201126497051214,0.022347388561246
"5",5,0.722416666666667,0.691574074074074,0.0186561829139709,0.0207290921266344
"6",6,0.71275,0.680833333333333,0.0187468388139772,0.0208298209044191
"7",7,0.69925,0.665833333333333,0.0175939595825699,0.0195488439806332
"8",8,0.688916666666667,0.654351851851852,0.0203597317801812,0.0226219242002013
"9",9,0.681916666666667,0.646574074074074,0.0182497441329883,0.0202774934810981
"10",10,0.67175,0.635277777777778,0.0214068753054907,0.0237854170061008
"11",11,0.665,0.627777777777778,0.0191072291789404,0.0212302546432671
