"","k","Accuracy","Kappa","AccuracySD","KappaSD"
"1",1,0.871525,0.85725,0.0151544864510797,0.0168383182789775
"2",2,0.8458,0.828666666666667,0.0174797140720437,0.019421904524493
"3",3,0.868775,0.854194444444444,0.0162621166947584,0.0180690185497315
"4",4,0.864275,0.849194444444444,0.0145352888245167,0.0161503209161297
"5",5,0.86195,0.846611111111111,0.0147905409302737,0.0164339343669708
"6",6,0.85855,0.842833333333333,0.016908025110323,0.0187866945670256
"7",7,0.85545,0.839388888888889,0.0157448885404602,0.0174943206005113
"8",8,0.8521,0.835666666666667,0.0165401256819819,0.0183779174244244
"9",9,0.849625,0.832916666666667,0.015832834920385,0.0175920388004277
"10",10,0.84595,0.828833333333333,0.0152660744889782,0.0169623049877535
"11",11,0.84095,0.823277777777778,0.0162903733114457,0.0181004147904952
