"","x"
"1",5.50371946368229
"2",4.97370606848569
"3",4.89076264297453
"4",4.31240711954827
"5",3.97271748301782
"6",3.9096464787743
"7",3.4175119528116
"8",3.39495502916919
"9",3.10528909233213
"10",2.82828530246928
"11",2.7540693273432
"12",2.56987482160646
"13",2.4014595320292
"14",2.34838574353817
"15",2.19939579390413
"16",2.08796081788059
"17",1.99932485077662
"18",1.93274609707357
"19",1.90424574613392
"20",1.72369720853605
"21",1.62950506099405
"22",1.55543728982987
"23",1.53585000585924
"24",1.49920858905059
"25",1.40782402962993
"26",1.37038320135479
"27",1.259991621308
"28",1.23775942411398
"29",1.21016179953112
"30",1.17968881967207
"31",1.10761158452953
"32",1.09026774132133
"33",1.02871658578009
"34",0.962901814005612
"35",0.929255450527413
"36",0.895109845777903
"37",0.874405805700015
"38",0.851050688572961
"39",0.841765653067572
"40",0.805903633404223
"41",0.778699696896393
"42",0.752026441194496
"43",0.701391575780824
"44",0.687214509596686
"45",0.645714281749815
"46",0.631442666519183
"47",0.624996514870421
"48",0.61089920157355
"49",0.581045350732542
"50",0.5632548117013
"51",0.553951016604885
"52",0.542761326661212
"53",0.516111950083517
"54",0.49374938147338
"55",0.47216250422895
"56",0.459834881784712
"57",0.432842624191017
"58",0.422141252040943
"59",0.417219385468059
"60",0.407886822167215
"61",0.390842747428341
"62",0.375329299904861
"63",0.362820496616771
"64",0.357833950151824
"65",0.348840454394127
"66",0.340249623303384
"67",0.323370638334654
"68",0.320216883691778
"69",0.294533107647757
"70",0.288828049582809
"71",0.279319104183706
"72",0.275251225954954
"73",0.260483235856087
"74",0.256667451187626
"75",0.250488962300526
"76",0.245857729689015
"77",0.2376046198741
"78",0.227618199186433
"79",0.220663878860213
"80",0.21395133894132
"81",0.205755792496197
"82",0.201051525821023
"83",0.193199578974344
"84",0.190580535755216
"85",0.185220327918628
"86",0.177501547706718
"87",0.169993234334684
"88",0.16339925027848
"89",0.159254314352164
"90",0.156114013778612
"91",0.152851016551875
"92",0.148527841429068
"93",0.139684124260102
"94",0.136598408759709
"95",0.132764382462355
"96",0.127508267303225
"97",0.12635395407846
"98",0.122503135199819
"99",0.11973049871297
"100",0.113091520280441
"101",0.111755934637154
"102",0.108447657646685
"103",0.103539856769718
"104",0.0998468911530276
"105",0.0981840321665916
"106",0.0966095533823705
"107",0.0913158417556418
"108",0.0897584143529077
"109",0.0862173923646497
"110",0.0832748789482064
"111",0.082829199866374
"112",0.0789007308159506
"113",0.0761392608762599
"114",0.074435911653891
"115",0.0720176418955993
"116",0.0695410614480438
"117",0.0689734640595299
"118",0.0656187206457576
"119",0.0638128328725535
"120",0.061526608705785
"121",0.0583724695743164
"122",0.0577452553889688
"123",0.0566138445653232
"124",0.0555840334341461
"125",0.0528534747071112
"126",0.0523608653591169
"127",0.0486202032669524
"128",0.048108586322149
"129",0.0455483685719284
"130",0.0434773357456716
"131",0.0432981844238195
"132",0.0421027439103883
"133",0.0415790288627823
"134",0.0407770073475431
"135",0.0404493418233588
"136",0.0368757672053241
"137",0.0366941487120926
"138",0.0360367510596007
"139",0.0333265194469555
"140",0.0327061184789333
"141",0.0317698418837841
"142",0.031163701582505
"143",0.030727022372597
"144",0.0299210824350364
"145",0.027898628130381
"146",0.0276954017213943
"147",0.0264297753647966
"148",0.0251722282291106
"149",0.0248641704550842
"150",0.0238278689096922
"151",0.0233139773526922
"152",0.0228742014616739
"153",0.0223504652497628
"154",0.0213514159281921
"155",0.0201499508458734
"156",0.0193510189730989
"157",0.0189891226324673
"158",0.0187818480825863
"159",0.018428341937896
"160",0.0179754409112915
"161",0.0171245044787462
"162",0.0166950765573774
"163",0.016269194764675
"164",0.0159275927576736
"165",0.0155874131310215
"166",0.0150774912183881
"167",0.014197460282359
"168",0.0139721794468105
"169",0.0136178311512309
"170",0.0131149371989831
"171",0.0129217834529006
"172",0.0123996437212656
"173",0.01193235031494
"174",0.0114839183440986
"175",0.0114148226179365
"176",0.0112477828504631
"177",0.0109127816981346
"178",0.0107113606574697
"179",0.0104361976530058
"180",0.0102473548106415
"181",0.0100343441898629
"182",0.0098309327039856
"183",0.0095060452480296
"184",0.00929111834024303
"185",0.00913598536750476
"186",0.00888584852372423
"187",0.00866694129272157
"188",0.00819915271050941
"189",0.0075105652299017
"190",0.00740794327662903
"191",0.0070615123618747
"192",0.00692409833047017
"193",0.00683573603299479
"194",0.00673558918120865
"195",0.00643689825654581
"196",0.0062766978985681
"197",0.00624484544899748
"198",0.00609952501111677
"199",0.00595662847361662
"200",0.00580092327384961
"201",0.0053400198706066
"202",0.00519458087720577
"203",0.00508234599729387
"204",0.00466935086375106
"205",0.00456864556954341
"206",0.00452358641232201
"207",0.00433817035829456
"208",0.00393939108763701
"209",0.00380070496778927
"210",0.00378997090857707
"211",0.00368227039191115
"212",0.00352613477238009
"213",0.00346469620227826
"214",0.00336479845008515
"215",0.00317085702998817
"216",0.00297525956012693
"217",0.00281073432862961
"218",0.00271401104778587
"219",0.00247378850109793
"220",0.00240461496399193
"221",0.00223050485248284
"222",0.00214992913887648
"223",0.00206223646149537
"224",0.00204097848379003
"225",0.00192199200286934
"226",0.00180715546766217
"227",0.00159317226411271
"228",0.0015341954529091
"229",0.0014801270439532
"230",0.00136444779314661
"231",0.00125239234162191
"232",0.00120987031122667
"233",0.00115622624455676
"234",0.00106293026839612
"235",0.000997597541024708
"236",0.000975547401542186
"237",0.000786218377534435
"238",0.0007345998202755
"239",0.000661241809742768
"240",0.000645586469605641
"241",0.000628629153201968
"242",0.000587573407139664
"243",0.000442836650781936
"244",0.000407375646595518
"245",0.000399293374686534
"246",0.000372229034967393
"247",0.000301255772958076
"248",0.000256506845105563
"249",0.000229689316811853
"250",0.000218455192093632
"251",0.000168553723426514
"252",0.000128181449737805
"253",0.000123548816676417
"254",9.13578967261427e-05
"255",6.61423063126123e-05
"256",4.78011065556237e-05
