"","X0","X1","X2","X3","X4","X5","X6","X7","X8","X9"
"X0",3003,16,182,5,3,29,76,0,58,83
"X1",126,2714,17,18,14,0,13,25,0,0
"X2",172,94,3399,5,0,0,1,100,531,0
"X3",101,0,8,3308,0,12,0,4,378,6
"X4",34,21,0,4,3735,30,12,0,2,1380
"X5",89,0,11,349,17,3835,0,0,177,304
"X6",266,20,20,0,0,42,3753,12,401,41
"X7",22,702,84,63,2,7,14,3841,48,24
"X8",62,41,277,185,0,19,131,2,2342,34
"X9",125,392,2,63,229,26,0,16,63,2128
