"","k","Accuracy","Kappa","AccuracySD","KappaSD"
"1",1,0.900525,0.889472222222222,0.0123567294469962,0.0137296993855513
"2",2,0.874725,0.860805555555556,0.0136510211628244,0.0151678012920271
"3",3,0.8973,0.885888888888889,0.0129863953677094,0.0144293281863438
"4",4,0.896625,0.885138888888889,0.0143476628512427,0.0159418476124919
"5",5,0.898125,0.886805555555556,0.0138916032701104,0.0154351147445671
"6",6,0.89745,0.886055555555556,0.0138625103036641,0.0154027892262934
"7",7,0.8974,0.886,0.0127916481591022,0.0142129423990024
"8",8,0.895175,0.883527777777778,0.0142145136740551,0.0157939040822834
"9",9,0.897475,0.886083333333333,0.0139737081765013,0.0155263424183348
"10",10,0.897575,0.886194444444444,0.0143612087994646,0.0159568986660717
"11",11,0.896575,0.885083333333333,0.0147481166405899,0.0163867962673221
