"","k","Accuracy","Kappa","AccuracySD","KappaSD"
"1",1,0.8361,0.817888888888889,0.0188806726040096,0.0209785251155662
"2",2,0.799275,0.776972222222222,0.018192624629478,0.0202140273660867
"3",3,0.820375,0.800416666666667,0.0188205742513749,0.0209117491681943
"4",4,0.8184,0.798222222222222,0.017409651334704,0.01934405703856
"5",5,0.8181,0.797888888888889,0.0184299109103006,0.0204776787892229
"6",6,0.81255,0.791722222222222,0.019962022022639,0.0221800244695989
"7",7,0.81,0.788888888888889,0.0180697302557385,0.0200774780619317
"8",8,0.8057,0.784111111111111,0.0199148439637626,0.0221276044041806
"9",9,0.80435,0.782611111111111,0.0211942078041253,0.0235491197823614
"10",10,0.80075,0.778611111111111,0.0199921070283836,0.0222134522537595
"11",11,0.797025,0.774472222222222,0.0197959764047693,0.0219955293386325
