"","k","Accuracy","Kappa","AccuracySD","KappaSD"
"1",1,0.721975,0.691083333333333,0.0204442300027181,0.0227158111141313
"2",2,0.6746,0.638444444444444,0.0204640606375611,0.0227378451528457
"3",3,0.690825,0.656472222222222,0.0209227022560894,0.0232474469512105
"4",4,0.68895,0.654388888888889,0.0221370273478166,0.0245966970531296
"5",5,0.68565,0.650722222222222,0.0218396937300463,0.0242663263667181
"6",6,0.680775,0.645305555555556,0.0203619241366197,0.0226243601517996
"7",7,0.6747,0.638555555555556,0.0204256473754706,0.0226951637505229
"8",8,0.67075,0.634166666666667,0.020905934105131,0.0232288156723678
"9",9,0.665725,0.628583333333333,0.0195346590459215,0.0217051767176906
"10",10,0.6603,0.622555555555556,0.0202268698178008,0.0224742997975565
"11",11,0.6553,0.617,0.0206347505265494,0.0229275005850549
