"","k","Accuracy","Kappa","AccuracySD","KappaSD"
"1",1,0.8005,0.778333333333333,0.0151059476754162,0.0167843863060181
"2",2,0.764416666666667,0.738240740740741,0.0189222926972273,0.0210247696635859
"3",3,0.767166666666667,0.741296296296296,0.0162248921856751,0.0180276579840835
"4",4,0.75575,0.728611111111111,0.0170464628750871,0.0189405143056524
"5",5,0.747,0.718888888888889,0.016352791599707,0.0181697684441189
"6",6,0.736166666666667,0.706851851851852,0.0143649077516232,0.0159610086129146
"7",7,0.729333333333333,0.699259259259259,0.0179430772998532,0.0199367525553924
"8",8,0.716083333333333,0.684537037037037,0.0197362275564739,0.0219291417294154
"9",9,0.708,0.675555555555556,0.0181753907134402,0.0201948785704891
"10",10,0.697416666666667,0.663796296296296,0.0173513804147927,0.0192793115719918
"11",11,0.68675,0.651944444444444,0.019399942232406,0.02155549136934
