"","k","Accuracy","Kappa","AccuracySD","KappaSD"
"1",1,0.993083333333333,0.992314814814815,0.00443746458622748,0.00493051620691941
"2",2,0.991,0.99,0.004335101319263,0.00481677924362555
"3",3,0.993416666666667,0.992685185185185,0.00350389766553973,0.00389321962837746
"4",4,0.992416666666667,0.991574074074074,0.00396554847563911,0.00440616497293234
"5",5,0.9915,0.990555555555556,0.00448176381534678,0.00497973757260753
"6",6,0.99175,0.990833333333333,0.00405511596840848,0.00450568440934274
"7",7,0.9915,0.990555555555556,0.00386183804728374,0.0042909311636486
"8",8,0.991166666666667,0.990185185185185,0.00467630367832909,0.00519589297592121
"9",9,0.991083333333333,0.990092592592593,0.0045335594095082,0.00503728823278688
"10",10,0.989916666666667,0.988796296296296,0.00562795260949421,0.00625328067721578
"11",11,0.989916666666667,0.988796296296296,0.00497768006711709,0.00553075563013009
