"","k","Accuracy","Kappa","AccuracySD","KappaSD"
"1",1,0.7241,0.693444444444444,0.0173915107585467,0.0193239008428297
"2",2,0.679925,0.644361111111111,0.0216446712363411,0.0240496347070457
"3",3,0.6944,0.660444444444445,0.0203260046405206,0.0225844496005784
"4",4,0.69545,0.661611111111111,0.020086240830655,0.0223180453673944
"5",5,0.689975,0.655527777777778,0.0202587273873147,0.0225096970970163
"6",6,0.688225,0.653583333333333,0.0213179839429984,0.0236866488255538
"7",7,0.68295,0.647722222222222,0.0227452403723495,0.0252724893026106
"8",8,0.677775,0.641972222222222,0.0208920233920542,0.0232133593245047
"9",9,0.672725,0.636361111111111,0.0216261129800587,0.0240290144222874
"10",10,0.667675,0.63075,0.0215973687838088,0.0239970764264542
"11",11,0.663025,0.625583333333333,0.0216675262067268,0.0240750291185853
