"","k","Accuracy","Kappa","AccuracySD","KappaSD"
"1",1,0.7975,0.775,0.018823133236196,0.0209145924846622
"2",2,0.757,0.73,0.020525425779951,0.02280602864439
"3",3,0.763333333333333,0.737037037037037,0.0207128701175319,0.023014300130591
"4",4,0.750916666666667,0.723240740740741,0.0245781944755542,0.027309104972838
"5",5,0.743666666666667,0.715185185185185,0.0259204131157656,0.0288004590175173
"6",6,0.729916666666667,0.699907407407407,0.0240821451005445,0.026757939000605
"7",7,0.721333333333333,0.69037037037037,0.027642525127099,0.0307139168078878
"8",8,0.707916666666667,0.675462962962963,0.0240606573036785,0.0267340636707539
"9",9,0.697583333333333,0.663981481481482,0.0218387836489207,0.0242653151654675
"10",10,0.689166666666667,0.65462962962963,0.0216986942771525,0.0241096603079473
"11",11,0.681416666666667,0.646018518518519,0.0202323074405223,0.0224803416005804
