"k" "Accuracy" "Kappa" "AccuracySD" "KappaSD"
1 0.892933333333333 0.881037037037037 0.00350549650507977 0.0038949961167553
2 0.8728 0.858666666666667 0.00477123203925504 0.0053013689325056
3 0.890958333333333 0.878842592592593 0.00434953591129884 0.00483281767922094
5 0.8898 0.877555555555556 0.0052802494716404 0.00586694385737822
7 0.886333333333333 0.873703703703704 0.00520167965799201 0.00577964406443558
11 0.8794 0.866 0.00601420731727568 0.00668245257475076
30 0.848225 0.831361111111111 0.00556518968292156 0.00618354409213507
40 0.8354 0.817111111111111 0.00590535992654715 0.00656151102949682
80 0.790683333333333 0.767425925925926 0.00672614986110352 0.00747349984567058
