"sigma","k","Accuracy","Kappa","AccuracySD","KappaSD"
0.2,1,0.9696,0.966222222222222,0.00846651157099654,0.00940723507888505
0.2,2,0.96175,0.9575,0.00906277211364374,0.0100697467929375
0.2,3,0.97055,0.967277777777778,0.00809960093791882,0.00899955659768758
0.2,4,0.966875,0.963194444444444,0.00820641994311944,0.00911824438124382
0.2,5,0.968125,0.964583333333333,0.00812912676861433,0.00903236307623815
0.2,6,0.964275,0.960305555555556,0.00844093411222175,0.00937881568024639
0.2,7,0.963575,0.959527777777778,0.00899814094155234,0.00999793437950261
0.2,8,0.960975,0.956638888888889,0.0096064937527811,0.0106738819475346
0.2,9,0.9601,0.955666666666667,0.00927906299693079,0.0103100699965898
0.2,10,0.9581,0.953444444444444,0.00991835356164204,0.0110203928462689
0.2,11,0.95655,0.951722222222222,0.00975572869775715,0.0108396985530635
0.5,1,0.979275,0.976972222222222,0.00746452045724075,0.0082939116191564
0.5,2,0.97385,0.970944444444444,0.00719866008856559,0.00799851120951732
0.5,3,0.979625,0.977361111111111,0.00659406490104488,0.00732673877893875
0.5,4,0.978175,0.97575,0.0072287218228342,0.00803191313648244
0.5,5,0.97965,0.977388888888889,0.00730832512697788,0.00812036125219764
0.5,6,0.977425,0.974916666666667,0.00716380316295582,0.00795978129217314
0.5,7,0.977325,0.974805555555556,0.0078757314875919,0.00875081276399101
0.5,8,0.97525,0.9725,0.00806773721921977,0.00896415246579975
0.5,9,0.97425,0.971388888888889,0.00842749828079053,0.00936388697865615
0.5,10,0.971975,0.968861111111111,0.00887123799908241,0.00985693111009158
0.5,11,0.9715,0.968333333333333,0.00891174460581047,0.00990193845090052
1,1,0.9884,0.987111111111111,0.00501915522692009,0.00557683914102231
1,2,0.9852,0.983555555555556,0.00574807829108165,0.00638675365675738
1,3,0.988975,0.98775,0.00491204199551028,0.00545782443945586
1,4,0.988425,0.987138888888889,0.00538487171939532,0.00598319079932813
1,5,0.989325,0.988138888888889,0.00480497164666479,0.0053388573851831
1,6,0.988,0.986666666666667,0.00516153215057449,0.00573503572286054
1,7,0.9881,0.986777777777778,0.00495076771926346,0.00550085302140385
1,8,0.987575,0.986194444444444,0.00562344254532809,0.00624826949480899
1,9,0.987325,0.985916666666667,0.00555340236051538,0.00617044706723931
1,10,0.986725,0.98525,0.00552422351598353,0.00613802612887059
1,11,0.9859,0.984333333333333,0.00613937449516799,0.00682152721685332
1.5,1,0.99105,0.990055555555556,0.00468960811181748,0.00521067567979719
1.5,2,0.989975,0.988861111111111,0.004865553525665,0.00540617058407222
1.5,3,0.991075,0.990083333333333,0.00456788028554059,0.00507542253948953
1.5,4,0.991275,0.990305555555556,0.00444516250512507,0.00493906945013896
1.5,5,0.99125,0.990277777777778,0.00435918860024721,0.00484354288916356
1.5,6,0.9909,0.989888888888889,0.00458533014353957,0.00509481127059951
1.5,7,0.99055,0.9895,0.00484064233153186,0.00537849147947984
1.5,8,0.990375,0.989305555555556,0.00447178302630433,0.0049686478070048
1.5,9,0.990125,0.989027777777778,0.00462447103172162,0.00513830114635735
1.5,10,0.98965,0.9885,0.00502544032946871,0.00558382258829856
1.5,11,0.989675,0.988527777777778,0.00498298873846578,0.00553665415385087
2,1,0.990075,0.988972222222222,0.00434402817763431,0.00482669797514923
2,2,0.9897,0.988555555555556,0.00477101941545267,0.00530113268383629
2,3,0.991475,0.990527777777778,0.00436779710095966,0.00485310788995517
2,4,0.991375,0.990416666666667,0.00414958620305275,0.00461065133672527
2,5,0.991075,0.990083333333333,0.00448418939669754,0.00498243266299726
2,6,0.99085,0.989833333333333,0.00455355339101767,0.00505950376779741
2,7,0.990575,0.989527777777778,0.00450665893400807,0.00500739881556452
2,8,0.99035,0.989277777777778,0.00449494665758621,0.00499438517509579
2,9,0.99025,0.989166666666667,0.00465339020543522,0.00517043356159468
2,10,0.989725,0.988583333333333,0.0048447487973156,0.00538305421923956
2,11,0.9903,0.989222222222222,0.00488865931508731,0.00543184368343035
2.5,1,0.98785,0.9865,0.00482025398551244,0.00535583776168049
2.5,2,0.986925,0.985472222222222,0.0052205765191135,0.00580064057679278
2.5,3,0.990725,0.989694444444444,0.00454071090860843,0.00504523434289825
2.5,4,0.989575,0.988416666666667,0.00507587629892812,0.00563986255436458
2.5,5,0.989775,0.988638888888889,0.00456566843768011,0.00507296493075568
2.5,6,0.9897,0.988555555555556,0.00478423336480245,0.00531581484978049
2.5,7,0.9903,0.989222222222222,0.00454050235284177,0.00504500261426863
2.5,8,0.9899,0.988777777777778,0.00433624610729492,0.00481805123032768
2.5,9,0.99,0.988888888888889,0.00468718433280546,0.00520798259200606
2.5,10,0.9896,0.988444444444444,0.00468341151665573,0.00520379057406192
2.5,11,0.98945,0.988277777777778,0.00470841713521561,0.00523157459468401
3,1,0.98225,0.980277777777778,0.0058441458233039,0.00649349535922656
3,2,0.98055,0.978388888888889,0.00651900872429811,0.00724334302699789
3,3,0.9863,0.984777777777778,0.00572386462651121,0.00635984958501245
3,4,0.9853,0.983666666666667,0.00612661028100806,0.00680734475667561
3,5,0.986525,0.985027777777778,0.00585919591477165,0.00651021768307961
3,6,0.985375,0.98375,0.00642924779991621,0.00714360866657356
3,7,0.9868,0.985333333333333,0.00540155233953794,0.00600172482170881
3,8,0.9867,0.985222222222222,0.00508612690253467,0.00565125211392741
3,9,0.987125,0.985694444444444,0.00571166403604117,0.00634629337337908
3,10,0.9869,0.985444444444444,0.00525991127935317,0.00584434586594797
3,11,0.986425,0.984916666666667,0.00533303739709258,0.00592559710788064
3.5,1,0.972625,0.969583333333333,0.00819101965754589,0.00910113295282877
3.5,2,0.9701,0.966777777777778,0.00763696486329697,0.00848551651477442
3.5,3,0.977475,0.974972222222222,0.00680254520103478,0.00755838355670531
3.5,4,0.97615,0.9735,0.00721617851242833,0.00801797612492037
