"","X0","X1","X2","X3","X4","X5","X6","X7","X8","X9"
"X0",365,1,1,3,0,1,6,0,1,2
"X1",3,346,4,6,3,2,2,8,2,11
"X2",5,3,339,15,2,0,4,13,7,2
"X3",3,2,17,324,2,5,1,14,4,6
"X4",1,2,4,1,362,5,6,2,4,12
"X5",4,3,3,3,8,372,3,5,4,10
"X6",5,0,7,1,4,4,376,2,2,3
"X7",4,0,17,13,1,2,2,365,2,7
"X8",4,3,10,9,3,11,8,4,357,10
"X9",3,7,4,3,8,13,3,7,9,358
