"","k","Accuracy","Kappa","AccuracySD","KappaSD"
"1",1,0.542825,0.492027777777778,0.0206786835786385,0.0229763150873761
"2",2,0.5166,0.462888888888889,0.0240515019796009,0.0267238910884455
"3",3,0.55235,0.502611111111111,0.0241701146965513,0.0268556829961681
"4",4,0.568925,0.521027777777778,0.0220027976871262,0.0244475529856958
"5",5,0.5787,0.531888888888889,0.0244186962648035,0.0271318847386705
"6",6,0.58525,0.539166666666667,0.0235554900418376,0.0261727667131529
"7",7,0.587375,0.541527777777778,0.023326229979371,0.0259180333104122
"8",8,0.588075,0.542305555555556,0.0226129460328111,0.0251254955920124
"9",9,0.592425,0.547138888888889,0.0221919285308689,0.0246576983676321
"10",10,0.592875,0.547638888888889,0.0232448946279097,0.0258276606976775
"11",11,0.59245,0.547166666666667,0.021496945989342,0.0238854955437133
