"","k","Accuracy","Kappa","AccuracySD","KappaSD"
"1",1,0.983833333333333,0.982037037037037,0.00548246944946964,0.00609163272163292
"2",2,0.976333333333333,0.973703703703704,0.00824551428033003,0.00916168253370003
"3",3,0.983166666666667,0.981296296296296,0.00444958993332113,0.00494398881480125
"4",4,0.980333333333333,0.978148148148148,0.00727339665153598,0.00808155183503997
"5",5,0.98075,0.978611111111111,0.00609373618477655,0.00677081798308506
"6",6,0.980166666666667,0.977962962962963,0.00784915252764901,0.00872128058627669
"7",7,0.979083333333333,0.976759259259259,0.00699394237072751,0.00777104707858613
"8",8,0.97775,0.975277777777778,0.00799649707792365,0.00888499675324849
"9",9,0.977916666666667,0.975462962962963,0.00751674376186985,0.00835193751318873
"10",10,0.977,0.974444444444444,0.00815792400908045,0.00906436001008938
"11",11,0.976583333333333,0.973981481481481,0.00764185766065734,0.00849095295628593
