"","X0","X1","X2","X3","X4","X5","X6","X7","X8","X9"
"X0",3752,0,1,18,16,16,32,0,90,92
"X1",20,3950,15,42,0,41,98,0,65,86
"X2",2,0,3896,45,3,14,3,104,20,11
"X3",22,0,0,3568,1,155,19,13,34,61
"X4",17,0,0,9,3791,1,20,0,0,253
"X5",0,0,0,57,0,3291,46,0,152,33
"X6",30,16,2,46,7,39,3648,9,78,1
"X7",0,0,34,20,0,0,12,3873,0,0
"X8",136,2,49,87,28,378,95,1,3406,307
"X9",21,32,3,108,154,65,27,0,155,3156
