"","X0","X1","X2","X3","X4","X5","X6","X7","X8","X9"
"X0",250,0,31,0,7,11,30,0,51,46
"X1",4,121,27,23,1,1,3,1,0,0
"X2",3,22,251,22,1,3,8,41,45,10
"X3",2,4,10,261,2,30,1,26,55,16
"X4",0,4,0,2,325,48,9,7,11,173
"X5",80,10,6,29,13,290,9,0,44,32
"X6",32,3,31,0,24,5,329,9,46,25
"X7",0,55,18,24,8,7,1,281,41,18
"X8",28,46,23,22,3,4,9,9,64,15
"X9",1,135,3,17,16,1,1,26,43,65
