"sigma","k","Accuracy","Kappa","AccuracySD","KappaSD"
0.2,1,0.988775,0.987527777777778,0.0048264710951505,0.00536274566127834
0.2,2,0.983925,0.982138888888889,0.00606420820982602,0.00673800912202891
0.2,3,0.9871,0.985666666666667,0.00523102632029666,0.00581225146699629
0.2,4,0.98615,0.984611111111111,0.00525150291138478,0.00583500323487199
0.2,5,0.985975,0.984416666666667,0.00572844003656539,0.00636493337396155
0.2,6,0.985275,0.983638888888889,0.00602912753123359,0.00669903059025954
0.2,7,0.985825,0.98425,0.00586091961963981,0.0065121329107109
0.2,8,0.984925,0.98325,0.00584365969114036,0.00649295521237818
0.2,9,0.984675,0.982972222222222,0.00607876540827897,0.00675418378697663
0.2,10,0.983075,0.981194444444444,0.0063748143169631,0.00708312701884788
0.2,11,0.982325,0.980361111111111,0.00707334411503477,0.00785927123892753
0.3,1,0.988975,0.98775,0.00482123616739714,0.00535692907488571
0.3,2,0.9834,0.981555555555556,0.006139374495168,0.00682152721685332
0.3,3,0.987,0.985555555555556,0.00483307209325352,0.00537008010361502
0.3,4,0.986725,0.98525,0.00497081126642972,0.00552312362936636
0.3,5,0.986175,0.984638888888889,0.00582201282490286,0.00646890313878096
0.3,6,0.98575,0.984166666666667,0.00600399698517411,0.00667110776130457
0.3,7,0.986025,0.984472222222222,0.00545985116532262,0.00606650129480291
0.3,8,0.9857,0.984111111111111,0.00588269161235405,0.00653632401372672
0.3,9,0.98545,0.983833333333333,0.0060237325252167,0.00669303613912967
0.3,10,0.983475,0.981638888888889,0.0062754029207838,0.006972669911982
0.3,11,0.9826,0.980666666666667,0.00729881684060693,0.00810979648956326
0.6,1,0.992475,0.991638888888889,0.00386800851847433,0.00429778724274924
0.6,2,0.992025,0.991138888888889,0.00358333333333333,0.00398148148148147
0.6,3,0.99345,0.992722222222222,0.00392125778625464,0.00435695309583848
0.6,4,0.9926,0.991777777777778,0.00433624610729492,0.00481805123032768
0.6,5,0.992775,0.991972222222222,0.00424762262681114,0.00471958069645681
0.6,6,0.992475,0.991638888888889,0.00409013039726935,0.00454458933029927
0.6,7,0.9924,0.991555555555556,0.00426282971413557,0.00473647746015062
0.6,8,0.99195,0.991055555555556,0.00443214839484639,0.0049246093276071
0.6,9,0.992225,0.991361111111111,0.00447911821679223,0.00497679801865802
0.6,10,0.991625,0.990694444444444,0.00447178302630433,0.0049686478070048
0.6,11,0.991625,0.990694444444444,0.00461079924709043,0.00512311027454491
1,1,0.9926,0.991777777777778,0.00379260311446352,0.00421400346051501
