"","k","Accuracy","Kappa","AccuracySD","KappaSD"
"1",1,0.719825,0.688694444444444,0.0202953414319243,0.0225503793688048
"2",2,0.673625,0.637361111111111,0.0207235745083719,0.023026193898191
"3",3,0.68905,0.6545,0.0206423977739648,0.0229359975266275
"4",4,0.688725,0.654138888888889,0.0204633665042404,0.0227370738936005
"5",5,0.68565,0.650722222222222,0.0198911812346349,0.0221013124829276
"6",6,0.6825,0.647222222222222,0.0187082869338697,0.0207869854820775
"7",7,0.6749,0.638777777777778,0.0192370906471238,0.0213745451634708
"8",8,0.6691,0.632333333333333,0.019731531449265,0.0219239238325167
"9",9,0.6652,0.628,0.0193769101371877,0.0215299001524308
"10",10,0.6592,0.621333333333333,0.0190688545046946,0.0211876161163274
"11",11,0.654775,0.616416666666667,0.0209047110586213,0.0232274567318015
