"","k","Accuracy","Kappa","AccuracySD","KappaSD"
"1",1,0.9895,0.988333333333333,0.00488664612437075,0.00542960680485638
"2",2,0.986333333333333,0.984814814814815,0.00578841490621023,0.00643157211801138
"3",3,0.989083333333333,0.98787037037037,0.0052310138354937,0.00581223759499299
"4",4,0.987666666666667,0.986296296296296,0.0053309980519491,0.00592333116883233
"5",5,0.987333333333333,0.985925925925926,0.00560685130970989,0.00622983478856654
"6",6,0.986583333333333,0.985092592592593,0.00555083611802722,0.0061675956866969
"7",7,0.987583333333333,0.986203703703704,0.00514795462116842,0.00571994957907601
"8",8,0.985166666666667,0.983518518518519,0.00612137765276871,0.00680153072529856
"9",9,0.9845,0.982777777777778,0.00641254159091171,0.00712504621212413
"10",10,0.983333333333333,0.981481481481482,0.00772181564022409,0.00857979515580454
"11",11,0.983583333333333,0.981759259259259,0.00635458473280803,0.00706064970312003
