"","k","Accuracy","Kappa","AccuracySD","KappaSD"
"1",1,0.726475,0.696083333333333,0.0220710943786371,0.0245234381984857
"2",2,0.674775,0.638638888888889,0.0211926439257979,0.0235473821397754
"3",3,0.7041,0.671222222222222,0.0197858484270905,0.0219842760301005
"4",4,0.701175,0.667972222222222,0.0181931798465604,0.020214644273956
"5",5,0.6981,0.664555555555556,0.0206250803487875,0.0229167559430972
"6",6,0.6888,0.654222222222222,0.0213155702563533,0.0236839669515037
"7",7,0.68515,0.650166666666667,0.022660259789715,0.0251780664330166
"8",8,0.678525,0.642805555555556,0.0223015802085408,0.0247795335650454
"9",9,0.671575,0.635083333333333,0.0214430623802297,0.0238256248669219
"10",10,0.668475,0.631638888888889,0.0223829587730117,0.0248699541922353
"11",11,0.6627,0.625222222222222,0.02160445614341,0.0240049512704555
