"","k","Accuracy","Kappa","AccuracySD","KappaSD"
"1",1,0.8595,0.843888888888889,0.0186981606614451,0.0207757340682723
"2",2,0.8301,0.811222222222222,0.0196269501379397,0.0218077223754886
"3",3,0.860575,0.845083333333333,0.0179711293440059,0.0199679214933399
"4",4,0.857225,0.841361111111111,0.0198189246107672,0.0220210273452969
"5",5,0.864075,0.848972222222222,0.0170065903743701,0.0188962115270778
"6",6,0.86395,0.848833333333333,0.017884237741541,0.0198713752683789
"7",7,0.865275,0.850305555555556,0.0180133753616359,0.0200148615129288
"8",8,0.86525,0.850277777777778,0.0176723118482163,0.0196359020535736
"9",9,0.86685,0.852055555555556,0.0169692978849177,0.0188547754276863
"10",10,0.8638,0.848666666666667,0.0174638154045686,0.0194042393384096
"11",11,0.8631,0.847888888888889,0.0162140044219169,0.0180155604687965
