"","k","Accuracy","Kappa","AccuracySD","KappaSD"
"1",1,0.955916666666667,0.951018518518518,0.0100747921458266,0.0111942134953629
"2",2,0.94275,0.936388888888889,0.0111678031674187,0.0124086701860207
"3",3,0.949,0.943333333333333,0.0132710470444186,0.0147456078271318
"4",4,0.945416666666667,0.939351851851852,0.0123888738552904,0.0137654153947671
"5",5,0.945333333333333,0.939259259259259,0.0128943541062006,0.0143270601180006
"6",6,0.942583333333333,0.936203703703704,0.0125684905228507,0.0139649894698341
"7",7,0.941,0.934444444444444,0.0154333941559339,0.0171482157288154
"8",8,0.93825,0.931388888888889,0.0148142231283504,0.0164602479203893
"9",9,0.936416666666667,0.929351851851852,0.0154205881933824,0.017133986881536
"10",10,0.931166666666667,0.923518518518519,0.0143498968717508,0.0159443298575009
"11",11,0.930916666666667,0.923240740740741,0.0134145336349676,0.0149050373721863
