"","X0","X1","X2","X3","X4","X5","X6","X7","X8","X9"
"X0",3990,0,0,0,0,0,0,0,0,9
"X1",0,3996,0,0,0,10,10,0,0,18
"X2",0,0,4000,0,0,0,0,0,0,0
"X3",0,0,0,3960,0,11,7,0,1,0
"X4",0,0,0,0,3979,0,0,0,0,58
"X5",0,0,0,10,0,3868,0,0,5,0
"X6",0,0,0,0,0,1,3973,0,16,0
"X7",0,0,0,10,0,0,0,4000,0,0
"X8",10,4,0,20,0,110,10,0,3978,0
"X9",0,0,0,0,21,0,0,0,0,3915
