"","X0","X1","X2","X3","X4","X5","X6","X7","X8","X9"
"X0",29860,720,1700,270,0,270,940,0,1540,100
"X1",840,20640,100,0,0,0,100,100,0,100
"X2",1660,2710,35540,10,0,0,0,400,5040,0
"X3",1270,100,0,33400,0,200,0,200,4530,100
"X4",320,1400,0,200,37600,200,100,0,100,12500
"X5",1150,0,10,3510,0,37920,0,0,1620,2400
"X6",2990,420,0,0,0,600,36760,100,2320,200
"X7",220,4700,200,510,100,100,100,38900,620,200
"X8",680,2400,2450,1600,0,200,1900,200,24230,400
"X9",1010,6910,0,500,2300,510,100,100,0,24000
