"","k","Accuracy","Kappa","AccuracySD","KappaSD"
"1",1,0.86855,0.853944444444444,0.0169229537503464,0.0188032819448293
"2",2,0.838775,0.820861111111111,0.0173259563264561,0.0192510625849512
"3",3,0.8589,0.843222222222222,0.0154123458318455,0.0171248287020505
"4",4,0.8589,0.843222222222222,0.0160386213166024,0.0178206903517805
"5",5,0.860725,0.84525,0.0155102401820555,0.0172336002022839
"6",6,0.85825,0.8425,0.0150860327401999,0.0167622586002221
"7",7,0.85765,0.841833333333333,0.0157786935998254,0.0175318817775838
"8",8,0.854875,0.83875,0.0145616722247068,0.0161796358052298
"9",9,0.8544,0.838222222222222,0.0167276158287166,0.0185862398096852
"10",10,0.852,0.835555555555556,0.0140615529984164,0.0156239477760182
"11",11,0.85035,0.833722222222222,0.0149494940963691,0.0166105489959656
