"","k","Accuracy","Kappa","AccuracySD","KappaSD"
"1",1,0.838325,0.820361111111111,0.0164955419444286,0.018328379938254
"2",2,0.808575,0.787305555555556,0.0200732717157353,0.0223036352397058
"3",3,0.83855,0.820611111111111,0.0188031401847692,0.0208923779830769
"4",4,0.834675,0.816305555555556,0.019094577870181,0.0212161976335344
"5",5,0.8375,0.819444444444444,0.0184568839638918,0.0205076488487687
"6",6,0.83905,0.821166666666667,0.0183256871107418,0.0203618745674909
"7",7,0.83935,0.8215,0.0193832297607905,0.0215369219564339
"8",8,0.83875,0.820833333333333,0.0192717802797644,0.0214130891997382
"9",9,0.8385,0.820555555555556,0.0191089380958628,0.0212321534398475
"10",10,0.8362,0.818,0.0189412968740983,0.0210458854156648
"11",11,0.83315,0.814611111111111,0.0182249551412065,0.0202499501568961
