"n","k","t"
500,1,0.019999999999996
500,2,0.00999999999999801
500,3,0.0300000000000011
500,4,0.0200000000000031
500,5,0.019999999999996
500,6,0.00999999999999801
500,7,0.0300000000000011
500,8,0.019999999999996
500,9,0.00999999999999801
500,10,0.00999999999999801
500,11,0.00999999999999801
500,12,0.00999999999999801
500,13,0.0200000000000031
500,14,0.0200000000000031
500,15,0.0200000000000031
500,16,0.019999999999996
500,17,0.00999999999999801
500,18,0.00999999999999801
500,19,0.00999999999999801
500,20,0.00999999999999801
500,21,0.0200000000000031
500,22,0.00999999999999801
500,23,0.00999999999999801
500,24,0.0200000000000031
500,25,0.0200000000000031
500,26,0.0300000000000011
500,27,0.00999999999999801
500,28,0.0200000000000031
500,29,0.0200000000000031
500,30,0.0200000000000031
500,31,0.019999999999996
500,32,0.00999999999999801
500,33,0.0300000000000011
500,34,0.0200000000000031
500,35,0.0399999999999991
500,36,0.0200000000000031
500,37,0.0200000000000031
500,38,0.019999999999996
500,39,0.00999999999999801
500,40,0.0300000000000011
1000,1,0.0600000000000023
1000,2,0.0800000000000054
1000,3,0.0700000000000003
1000,4,0.0600000000000023
1000,5,0.0800000000000054
1000,6,0.0700000000000003
1000,7,0.0600000000000023
1000,8,0.0600000000000023
1000,9,0.0599999999999952
1000,10,0.0600000000000023
1000,11,0.0700000000000003
1000,12,0.0799999999999983
1000,13,0.109999999999999
1000,14,0.119999999999997
1000,15,0.0799999999999983
1000,16,0.100000000000001
1000,17,0.0800000000000054
1000,18,0.0700000000000003
1000,19,0.0599999999999952
1000,20,0.0600000000000023
1000,21,0.0700000000000003
1000,22,0.0799999999999983
1000,23,0.0600000000000023
1000,24,0.0800000000000054
1000,25,0.0700000000000003
1000,26,0.0799999999999983
1000,27,0.0600000000000023
1000,28,0.0799999999999983
1000,29,0.0599999999999952
1000,30,0.0600000000000023
1000,31,0.0700000000000003
1000,32,0.0799999999999983
1000,33,0.0600000000000023
1000,34,0.0799999999999983
1000,35,0.0599999999999952
1000,36,0.0700000000000003
1000,37,0.0600000000000023
1000,38,0.0799999999999983
1000,39,0.0600000000000023
1000,40,0.0800000000000054
1500,1,0.189999999999998
1500,2,0.170000000000002
1500,3,0.18
1500,4,0.190000000000005
1500,5,0.18
1500,6,0.170000000000002
1500,7,0.190000000000005
1500,8,0.170000000000002
1500,9,0.160000000000004
1500,10,0.189999999999998
1500,11,0.18
1500,12,0.169999999999995
1500,13,0.18
1500,14,0.159999999999997
1500,15,0.200000000000003
1500,16,0.170000000000002
1500,17,0.170000000000002
1500,18,0.189999999999998
1500,19,0.169999999999995
1500,20,0.170000000000002
1500,21,0.170000000000002
1500,22,0.160000000000004
1500,23,0.390000000000001
1500,24,0.169999999999995
1500,25,0.18
1500,26,0.189999999999998
1500,27,0.189999999999998
1500,28,0.170000000000002
1500,29,0.170000000000002
1500,30,0.160000000000004
1500,31,0.170000000000002
1500,32,0.190000000000005
1500,33,0.160000000000004
1500,34,0.189999999999998
1500,35,0.169999999999995
1500,36,0.18
1500,37,0.189999999999998
1500,38,0.170000000000002
1500,39,0.18
1500,40,0.170000000000002
2000,1,0.420000000000002
2000,2,0.43
2000,3,0.410000000000004
2000,4,0.410000000000004
2000,5,0.439999999999998
2000,6,0.420000000000002
2000,7,0.43
2000,8,0.410000000000004
2000,9,0.43
2000,10,0.420000000000002
2000,11,0.419999999999995
2000,12,0.43
2000,13,0.420000000000002
2000,14,0.420000000000002
2000,15,0.439999999999998
2000,16,0.419999999999995
2000,17,0.420000000000002
