"sigma","k","Accuracy","Kappa","AccuracySD","KappaSD"
2,6,0.995,0.994444444444444,0.00440958551844097,0.00489953946493441
2,7,0.99525,0.994722222222222,0.00432210082662997,0.00480233425181107
2,8,0.994,0.993333333333333,0.00411636301174283,0.00457373667971426
2,9,0.99325,0.9925,0.00391755309118107,0.00435283676797896
2,10,0.99275,0.991944444444445,0.00248607231502937,0.00276230257225486
2,11,0.9925,0.991666666666667,0.00288675134594813,0.00320750149549791
2.5,1,0.99475,0.994166666666667,0.00321670984426981,0.00357412204918865
2.5,2,0.993,0.992222222222222,0.00387298334620743,0.00430331482911936
2.5,3,0.995,0.994444444444444,0.00372677996249964,0.0041408666249996
2.5,4,0.99375,0.993055555555556,0.00489472505186281,0.00543858339095867
2.5,5,0.9955,0.995,0.00453382350291181,0.005037581669902
2.5,6,0.996,0.995555555555556,0.0037638632635454,0.00418207029282821
2.5,7,0.99475,0.994166666666667,0.00432210082663,0.00480233425181107
2.5,8,0.99425,0.993611111111111,0.00334373377462317,0.00371525974958126
2.5,9,0.99375,0.993055555555556,0.0048947250518628,0.00543858339095865
2.5,10,0.993,0.992222222222222,0.00483045891539646,0.00536717657266274
2.5,11,0.99325,0.9925,0.00441745276023286,0.00490828084470316
3,1,0.9915,0.990555555555556,0.00411636301174283,0.00457373667971425
3,2,0.98775,0.986388888888889,0.00432210082662999,0.00480233425181112
3,3,0.99275,0.991944444444445,0.00398782870466845,0.00443092078296495
3,4,0.99325,0.9925,0.00441745276023286,0.00490828084470316
3,5,0.993,0.992222222222222,0.00550252467307307,0.00611391630341452
3,6,0.99075,0.989722222222222,0.00500693962859996,0.00556326625399995
3,7,0.99125,0.990277777777778,0.00530330085889911,0.00589255650988792
3,8,0.992,0.991111111111111,0.00510990323891864,0.00567767026546516
3,9,0.9925,0.991666666666667,0.00552770798392567,0.00614189775991742
3,10,0.99075,0.989722222222222,0.00441745276023288,0.00490828084470321
3,11,0.99075,0.989722222222222,0.00500693962859994,0.00556326625399995
3.5,1,0.98425,0.9825,0.00500693962859992,0.00556326625399992
3.5,2,0.981,0.978888888888889,0.00567646212197546,0.00630718013552828
3.5,3,0.9875,0.986111111111111,0.005,0.00555555555555555
3.5,4,0.988,0.986666666666667,0.00421637021355785,0.00468485579284206
3.5,5,0.98725,0.985833333333333,0.0032167098442698,0.0035741220491887
3.5,6,0.98725,0.985833333333333,0.00380970981688748,0.00423301090765276
3.5,7,0.98725,0.985833333333333,0.00545817429793761,0.00606463810881956
3.5,8,0.98825,0.986944444444444,0.00589844612306214,0.00655382902562461
3.5,9,0.98825,0.986944444444444,0.00514376645400367,0.00571529606000409
3.5,10,0.98775,0.986388888888889,0.00558395518925032,0.00620439465472258
3.5,11,0.98625,0.984722222222222,0.00592194600147996,0.0065799400016444
