"sigma","k","Accuracy","Kappa","AccuracySD","KappaSD"
0.2,1,0.9775,0.975,0.0065616732283432,0.00729074803149245
0.2,2,0.968,0.964444444444444,0.00963212218453326,0.0107023579828147
0.2,3,0.977,0.974444444444444,0.00814793770772022,0.00905326411968915
0.2,4,0.97475,0.971944444444444,0.00901002528051702,0.0100111392005745
0.2,5,0.9705,0.967222222222222,0.0116547558246981,0.012949728694109
0.2,6,0.96875,0.965277777777778,0.0106881294486506,0.0118756993873895
0.2,7,0.969,0.965555555555556,0.010619688214716,0.0117996535719067
0.2,8,0.96775,0.964166666666667,0.0105705303136177,0.0117450336817975
0.2,9,0.96675,0.963055555555556,0.0121363778231673,0.0134848642479637
0.2,10,0.9645,0.960555555555555,0.0101925899009471,0.0113250998899412
0.2,11,0.96075,0.956388888888889,0.0116696424776235,0.0129662694195817
0.5,1,0.98275,0.980833333333333,0.00691716865648239,0.0076857429516471
0.5,2,0.97925,0.976944444444445,0.00687689367859258,0.00764099297621398
0.5,3,0.98275,0.980833333333333,0.0060610321819894,0.00673448020221043
0.5,4,0.97975,0.9775,0.00532942565177316,0.00592158405752574
0.5,5,0.98075,0.978611111111111,0.00589844612306214,0.00655382902562461
0.5,6,0.97825,0.975833333333333,0.00635194633338649,0.00705771814820721
0.5,7,0.97725,0.974722222222222,0.00916287800493567,0.0101809755610396
0.5,8,0.97675,0.974166666666667,0.0096501295328094,0.010722366147566
0.5,9,0.9765,0.973888888888889,0.00809663853432742,0.00899626503814157
0.5,10,0.97375,0.970833333333333,0.00775044801572429,0.00861160890636034
0.5,11,0.97475,0.971944444444444,0.0100312013238695,0.0111457792487439
1,1,0.99025,0.989166666666667,0.00398782870466845,0.00443092078296495
1,2,0.98875,0.9875,0.0058034951154934,0.00644832790610379
1,3,0.99175,0.990833333333333,0.002898754521821,0.00322083835757889
1,4,0.9915,0.990555555555556,0.00337474278855277,0.00374971420950308
1,5,0.98975,0.988611111111111,0.00463231403656245,0.0051470155961805
1,6,0.9875,0.986111111111111,0.00527046276694729,0.00585606974105256
1,7,0.9885,0.987222222222222,0.00529674952735692,0.00588527725261881
1,8,0.98725,0.985833333333333,0.00299304749934467,0.00332560833260521
1,9,0.98825,0.986944444444445,0.00441745276023286,0.00490828084470317
1,10,0.98825,0.986944444444445,0.00486626710688549,0.00540696345209497
1,11,0.98825,0.986944444444444,0.0048662671068855,0.00540696345209501
1.5,1,0.99325,0.9925,0.00373608529524331,0.00415120588360367
1.5,2,0.99225,0.991388888888889,0.0032167098442698,0.00357412204918868
1.5,3,0.995,0.994444444444444,0.00372677996249967,0.00414086662499963
1.5,4,0.994,0.993333333333333,0.0037638632635454,0.00418207029282824
1.5,5,0.99475,0.994166666666667,0.00299304749934466,0.00332560833260517
1.5,6,0.994,0.993333333333333,0.00376386326354542,0.00418207029282824
1.5,7,0.99325,0.9925,0.00334373377462315,0.00371525974958129
1.5,8,0.99275,0.991944444444445,0.00342580079851574,0.00380644533168415
1.5,9,0.992,0.991111111111111,0.00387298334620741,0.00430331482911934
1.5,10,0.99125,0.990277777777778,0.00377307714089058,0.00419230793432286
1.5,11,0.99275,0.991944444444445,0.00398782870466846,0.00443092078296495
2,1,0.99525,0.994722222222222,0.00362284418654736,0.00402538242949705
2,2,0.994,0.993333333333333,0.00394405318873309,0.00438228132081454
2,3,0.9945,0.993888888888889,0.00404831926716373,0.0044981325190708
2,4,0.9955,0.995,0.00404831926716369,0.00449813251907077
2,5,0.99425,0.993611111111111,0.00441745276023287,0.00490828084470318
