"","k","Accuracy","Kappa","AccuracySD","KappaSD"
"1",1,0.5904,0.544888888888889,0.0216191787283627,0.0240213096981807
"2",2,0.5584,0.509333333333333,0.0246350124494354,0.0273722360549283
"3",3,0.594925,0.549916666666667,0.0237528706399114,0.0263920784887904
"4",4,0.6039,0.559888888888889,0.0253443955114022,0.0281604394571136
"5",5,0.6154,0.572666666666667,0.0231369440898789,0.025707715655421
"6",6,0.615675,0.572972222222222,0.0228821503148262,0.0254246114609181
"7",7,0.6202,0.578,0.022489279151802,0.0249880879464467
"8",8,0.61525,0.5725,0.0208242404399054,0.0231380449332282
"9",9,0.615025,0.57225,0.0215102013618251,0.0239002237353612
"10",10,0.616425,0.573805555555556,0.0208568200942628,0.0231742445491809
"11",11,0.61605,0.573388888888889,0.0205547433636977,0.0228386037374419
