"","k","Accuracy","Kappa","AccuracySD","KappaSD"
"1",1,0.761925,0.735472222222222,0.0177626573166713,0.0197362859074125
"2",2,0.7262,0.695777777777778,0.0193273240399558,0.0214748044888398
"3",3,0.762275,0.735861111111111,0.0182577470757711,0.0202863856397457
"4",4,0.767025,0.741138888888889,0.0195553313663687,0.0217281459626319
"5",5,0.778575,0.753972222222222,0.0183376544494401,0.020375171610489
"6",6,0.77925,0.754722222222222,0.0181028905555065,0.0201143228394517
"7",7,0.78115,0.756833333333333,0.0174129146313762,0.0193476829237514
"8",8,0.7818,0.757555555555556,0.0165796211773321,0.0184218013081468
"9",9,0.7815,0.757222222222222,0.0173532810625646,0.0192814234028496
"10",10,0.7801,0.755666666666667,0.0180938909272961,0.0201043232525512
"11",11,0.777775,0.753083333333333,0.0164566119161137,0.0182851243512375
