"n","k","t"
3500,40,89.3200000000015
4000,1,110.15
4000,2,119.889999999999
4000,3,113.65
4000,4,112.190000000001
4000,5,110.190000000001
4000,6,111.049999999999
4000,7,108.960000000001
4000,8,109.24
4000,9,109.200000000001
4000,10,111.109999999999
4000,11,107.280000000001
4000,12,107.949999999999
4000,13,113.51
4000,14,109.65
4000,15,108.199999999999
4000,16,108.42
4000,17,109.939999999999
4000,18,116.41
4000,19,111.17
4000,20,109.109999999999
4000,21,109.75
4000,22,109.559999999999
4000,23,108.74
4000,24,110.050000000003
4000,25,111.370000000003
4000,26,110.579999999998
4000,27,112.529999999999
4000,28,111.209999999999
4000,29,111.16
4000,30,111.02
4000,31,113.779999999999
4000,32,111.439999999999
4000,33,112.459999999999
4000,34,110.639999999999
4000,35,109.389999999999
4000,36,110.559999999998
4000,37,111.560000000001
4000,38,110.310000000001
4000,39,109.610000000001
4000,40,111.07
