"k","Accuracy","Kappa","AccuracySD","KappaSD"
1,0.5516,0.501777777777778,0.032181171168523,0.0357568568539145
2,0.52135,0.468166666666667,0.0323966733545968,0.0359963037273298
3,0.541475,0.490527777777778,0.0327385370100063,0.0363761522333404
5,0.5428,0.492,0.0324888442392154,0.0360987158213504
7,0.542775,0.491972222222222,0.0327675843377771,0.0364084270419745
11,0.540225,0.489138888888889,0.0331252777766131,0.0368058641962368
30,0.51795,0.464388888888889,0.0319990885286857,0.0355545428096508
40,0.511075,0.45675,0.0320141136410525,0.0355712373789472
80,0.48075,0.423055555555556,0.0304861079473549,0.0338734532748388
