"","X0","X1","X2","X3","X4","X5","X6","X7","X8","X9"
"X0",3990,1,0,0,0,0,1,0,0,10
"X1",0,3990,0,0,0,10,10,0,0,22
"X2",0,0,4000,0,0,0,0,0,0,0
"X3",0,0,0,3965,0,10,6,0,0,0
"X4",0,0,0,0,3987,0,0,0,0,59
"X5",0,0,0,12,0,3870,0,0,10,0
"X6",0,0,0,0,0,0,3973,0,21,0
"X7",0,0,0,10,0,0,0,4000,0,0
"X8",10,9,0,13,0,110,10,0,3969,0
"X9",0,0,0,0,13,0,0,0,0,3909
