"","k","Accuracy","Kappa","AccuracySD","KappaSD"
"1",1,0.7333,0.703666666666667,0.0197742307567248,0.021971367507472
"2",2,0.6825,0.647222222222222,0.0218639041122646,0.0242932267914052
"3",3,0.7057,0.673,0.0226135741839661,0.0251261935377401
"4",4,0.70595,0.673277777777778,0.023139836218133,0.0257109291312589
"5",5,0.69995,0.666611111111111,0.0231076204143162,0.0256751337936846
"6",6,0.692825,0.658694444444444,0.0214813020644429,0.0238681134049365
"7",7,0.687925,0.65325,0.0205942493444312,0.0228824992715903
"8",8,0.681075,0.645638888888889,0.0210076194690778,0.0233417994100864
"9",9,0.674,0.637777777777778,0.0210188707901478,0.023354300877942
"10",10,0.67125,0.634722222222222,0.0230953775601627,0.0256615306224029
"11",11,0.665175,0.627972222222222,0.0216674096609203,0.0240748996232448
