"sigma","k","Accuracy","Kappa","AccuracySD","KappaSD"
0.2,1,0.917325,0.908138888888889,0.0125742993860694,0.0139714437622993
0.2,2,0.89875,0.8875,0.0141532913686413,0.0157258792984904
0.2,3,0.91225,0.9025,0.0134253453955531,0.0149170504395035
0.2,4,0.90825,0.898055555555556,0.0133214909530473,0.014801656614497
0.2,5,0.907125,0.896805555555556,0.0135418123535287,0.0150464581705874
0.2,6,0.902175,0.891305555555556,0.013121686690977,0.0145796518788633
0.2,7,0.900175,0.889083333333333,0.0132871121198268,0.0147634579109187
0.2,8,0.89595,0.884388888888889,0.0138798051102669,0.0154220056780743
0.2,9,0.89265,0.880722222222222,0.0133087842184678,0.0147875380205198
0.2,10,0.889125,0.876805555555556,0.0141170029654765,0.0156855588505294
0.2,11,0.884225,0.871361111111111,0.0131555140722455,0.0146172378580506
0.3,1,0.919325,0.910361111111111,0.0126623547285932,0.0140692830317703
0.3,2,0.89895,0.887722222222222,0.0119509730807059,0.0132788589785621
0.3,3,0.913675,0.904083333333333,0.0128876996795512,0.0143196663106124
0.3,4,0.912025,0.90225,0.0129621389228223,0.0144023765809137
0.3,5,0.908225,0.898027777777778,0.0132920525734802,0.0147689473038669
0.3,6,0.904225,0.893583333333333,0.0130785071198837,0.0145316745776486
0.3,7,0.901825,0.890916666666667,0.0132899626056888,0.014766625117432
0.3,8,0.89765,0.886277777777778,0.0133608617335345,0.0148454019261494
0.3,9,0.894325,0.882583333333333,0.0140653911169483,0.0156282123521647
0.3,10,0.89025,0.878055555555556,0.0132502144064986,0.014722460451665
0.3,11,0.884725,0.871916666666667,0.0133138825928791,0.0147932028809768
0.6,1,0.9602,0.955777777777778,0.00964443629846512,0.0107160403316279
0.6,2,0.95125,0.945833333333333,0.0101285923917583,0.0112539915463981
0.6,3,0.959075,0.954527777777778,0.00935181476473628,0.0103909052941514
0.6,4,0.956375,0.951527777777778,0.00972718127494063,0.0108079791943785
0.6,5,0.9553,0.950333333333333,0.00945670624103831,0.0105074513789314
0.6,6,0.9529,0.947666666666667,0.00962504099427187,0.0106944899936354
0.6,7,0.952425,0.947138888888889,0.0108969866560356,0.0121077629511507
0.6,8,0.9483,0.942555555555556,0.0102240062123564,0.0113600069026182
0.6,9,0.946925,0.941027777777778,0.0103831582260637,0.0115368424734041
0.6,10,0.943925,0.937694444444444,0.0105962102525937,0.0117735669473263
0.6,11,0.9423,0.935888888888889,0.00969666192693405,0.0107740688077045
1,1,0.978725,0.976361111111111,0.00757533710954386,0.00841704123282652
1,2,0.973025,0.970027777777778,0.00787605211826947,0.00875116902029942
1,3,0.97925,0.976944444444445,0.00684883681047853,0.00760981867830948
1,4,0.97715,0.974611111111111,0.00750437582785248,0.00833819536428054
1,5,0.978675,0.976305555555556,0.00705726039213691,0.00784140043570767
1,6,0.977075,0.974527777777778,0.00756332692281738,0.0084036965809082
1,7,0.976775,0.974194444444444,0.00773858723044668,0.00859843025605187
1,8,0.974525,0.971694444444444,0.00783103609126062,0.00870115121251181
1,9,0.97285,0.969833333333333,0.00855035589075601,0.00950039543417335
1,10,0.97165,0.9685,0.0086618576401242,0.00962428626680467
1,11,0.97015,0.966833333333333,0.00851187524591498,0.00945763916212776
1.5,1,0.986575,0.985083333333333,0.00523024180061776,0.00581137977846418
1.5,2,0.983675,0.981861111111111,0.00633109011310075,0.00703454457011194
1.5,3,0.988125,0.986805555555556,0.00502989798478794,0.00558877553865327
1.5,4,0.986175,0.984638888888889,0.00596131256308101,0.00662368062564557
1.5,5,0.986775,0.985305555555556,0.00506641496583735,0.0056293499620415
1.5,6,0.985725,0.984138888888889,0.00550820095655359,0.00612022328505954
1.5,7,0.9867,0.985222222222222,0.0060184900284226,0.00668721114269177
1.5,8,0.9858,0.984222222222222,0.00599747421584262,0.00666386023982513
1.5,9,0.984975,0.983305555555556,0.00629147852417873,0.00699053169353192
1.5,10,0.9838,0.982,0.0067183601895376,0.00746484465504178
1.5,11,0.98295,0.981055555555556,0.00668916657700715,0.00743240730778573
2,1,0.989325,0.988138888888889,0.00489607913631826,0.0054400879292425
2,2,0.987275,0.985861111111111,0.00521137789801888,0.00579041988668764
2,3,0.99065,0.989611111111111,0.00461415258096263,0.00512683620106959
2,4,0.989925,0.988805555555556,0.00496776223426219,0.00551973581584687
2,5,0.99085,0.989833333333333,0.00434061160332379,0.00482290178147088
2,6,0.98975,0.988611111111111,0.00493006648591635,0.00547785165101817
2,7,0.98955,0.988388888888889,0.00492852960226517,0.00547614400251685
2,8,0.9886,0.987333333333333,0.00523826249241044,0.00582029165823382
2,9,0.988875,0.987638888888889,0.00490277956619993,0.00544753285133325
2,10,0.98845,0.987166666666667,0.0055251948180836,0.00613910535342622
2,11,0.9879,0.986555555555556,0.00540902724688791,0.0060100302743199
2.5,1,0.99055,0.9895,0.00470841713521561,0.005231574594684
2.5,2,0.9881,0.986777777777778,0.00536684547038858,0.00596316163376508
2.5,3,0.99115,0.990166666666667,0.0041654543690947,0.00462828263232744
2.5,4,0.990975,0.989972222222222,0.00439373693368461,0.00488192992631623
2.5,5,0.991325,0.990361111111111,0.00428550233963655,0.00476166926626283
2.5,6,0.99035,0.989277777777778,0.00453688586293874,0.00504098429215415
2.5,7,0.99035,0.989277777777778,0.00476757778959065,0.00529730865510072
2.5,8,0.99005,0.988944444444445,0.00474048755110931,0.00526720839012145
2.5,9,0.990025,0.988916666666667,0.00469384671348532,0.00521538523720591
2.5,10,0.989425,0.98825,0.00476539239165724,0.00529488043517471
2.5,11,0.989525,0.988361111111111,0.00490689835997767,0.00545210928886408
3,1,0.98945,0.988277777777778,0.00457236980750307,0.00508041089722564
3,2,0.988125,0.986805555555556,0.00523892530809883,0.00582102812010981
3,3,0.99115,0.990166666666667,0.00442986877613067,0.00492207641792296
3,4,0.9907,0.989666666666667,0.00443926465837201,0.00493251628708
3,5,0.991075,0.990083333333333,0.00419317326379462,0.00465908140421625
3,6,0.99045,0.989388888888889,0.00442929868813189,0.00492144298681321
3,7,0.990475,0.989416666666667,0.00465603496724001,0.00517337218582223
3,8,0.9901,0.989,0.00447947056756226,0.00497718951951362
3,9,0.990125,0.989027777777778,0.00471906460085797,0.0052434051120644
3,10,0.99005,0.988944444444445,0.00464633014737265,0.00516258905263627
3,11,0.989875,0.98875,0.00478548679220661,0.00531720754689623
3.5,1,0.988375,0.987083333333333,0.00470566765515885,0.00522851961684316
3.5,2,0.9874,0.986,0.00501160269935294,0.00556844744372548
3.5,3,0.990525,0.989472222222222,0.00445650982249336,0.00495167758054817
3.5,4,0.98985,0.988722222222222,0.00494694069321862,0.0054966007702429
3.5,5,0.990075,0.988972222222222,0.004679838014118,0.00519982001568666
3.5,6,0.98985,0.988722222222222,0.00473835627639166,0.00526484030710185
3.5,7,0.990075,0.988972222222222,0.00444459437878411,0.00493843819864901
3.5,8,0.9896,0.988444444444444,0.00471029390663351,0.00523365989625945
3.5,9,0.99,0.988888888888889,0.00450868970192925,0.00500965522436583
3.5,10,0.9898,0.988666666666667,0.00457375031229209,0.00508194479143565
3.5,11,0.9896,0.988444444444444,0.00494566435977979,0.00549518262197754
4,1,0.986125,0.984583333333333,0.00490277956619992,0.00544753285133325
4,2,0.983975,0.982194444444444,0.0058721113680849,0.006524568186761
4,3,0.98835,0.987055555555556,0.00487495143720956,0.00541661270801061
4,4,0.98755,0.986166666666667,0.00511212660092045,0.00568014066768939
4,5,0.989,0.987777777777778,0.00485912657903775,0.00539902953226417
4,6,0.98905,0.987833333333333,0.00476439869757927,0.00529377633064363
4,7,0.9892,0.988,0.00520877270873986,0.00578752523193318
4,8,0.98875,0.9875,0.00532409237297397,0.0059156581921933
4,9,0.98875,0.9875,0.00494285526612081,0.0054920614068009
4,10,0.9883,0.987,0.00497316028620869,0.00552573365134299
4,11,0.987925,0.986583333333333,0.00550544954998907,0.00611716616665452
5,1,0.9752,0.972444444444444,0.00736563135464472,0.00818403483849414
5,2,0.97245,0.969388888888889,0.00811828588167267,0.00902031764630297
5,3,0.981475,0.979416666666667,0.00688189507315971,0.00764655008128856
5,4,0.97955,0.977277777777778,0.00696655067324055,0.00774061185915617
5,5,0.979325,0.977027777777778,0.00692542344546454,0.00769491493940505
5,6,0.979075,0.97675,0.00683180877301986,0.00759089863668874
5,7,0.980525,0.978361111111111,0.00654524848861965,0.0072724983206885
5,8,0.98,0.977777777777778,0.00656167322834318,0.00729074803149242
5,9,0.980025,0.977805555555556,0.00642060091904303,0.00713400102115892
5,10,0.9801,0.977888888888889,0.00709709002822191,0.00788565558691323
5,11,0.979975,0.97775,0.00631151544977332,0.00701279494419258
